sequence,sequence_index,bvec,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi.seq,1,0,1,1,1,-159.30759147130956,460.61549542607213,480.40083389620605,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,2,196.48839567047446,-16.517296864369428,418.856863603605,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,3,307.09996115557215,-6.563023443780575,-228.9350558572705,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,4,-177.91494373662476,-251.12587562126714,403.0339822990667,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,5,-32.017208948287575,-224.9031730319781,19.133603189266427,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,6,-473.0044287633868,-295.06745269399335,-157.5123991124696,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,7,316.4443483080569,-135.204641349644,407.4068839978604,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,8,95.50613549253585,343.83572570101956,150.4070107277957,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,9,483.9849517035304,-325.40436751253753,-179.2169337804051,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,10,474.76581540702404,5.180716737797344,-483.27371039095385,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,11,-114.65306040965727,202.5112201418355,-227.74068611316454,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,12,-456.1985796239631,-167.4072538527363,168.15085553854044,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,13,288.49414108793684,495.55019773907435,345.16977186986657,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,14,332.3548423633333,136.48302904109408,-72.75636018933642,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,15,-181.28095236014252,-478.5736541175555,257.29959539029755,-4.440892098500626e-16,1.0,90.0,0.0,1.0
dwi.seq,1,0,1,1,16,121.81656232469147,-211.38110168828328,350.30052628401893,-4.440892098500626e-16,1.0,90.0,0.0,1.0
