sequence,sequence_index,bvec,TR,readout,subset,nspins,longitudinal,transverse,phase,Sx,Sy
b0.json,1,0,1,1,0,10000,0.0,10000.0,0.0,10000.0,-6.123233995737785e-13
dwi.json,2,1,1,1,0,10000,-1.0824674490095276e-12,9593.066256681106,0.23728955508356533,9592.983987190762,39.72941700149653
dwi.json,2,2,1,1,0,10000,-1.1093348462054564e-12,323.67913342525407,-5.644762226636203,322.1095679285738,-31.837205652991706
dwi.json,2,3,1,1,0,10000,-1.1048939541069558e-12,5962.064822675391,-0.8224853050887191,5961.45053716699,-85.58295796916522
dwi.json,2,4,1,1,0,10000,-1.1126655152793319e-12,1509.0731854838073,2.7128438174427285,1507.3819523116144,71.42498856472591
dwi.json,2,5,1,1,0,10000,-1.0837997166390778e-12,7967.180473057726,0.4770443864743405,7966.904323428097,66.33394014395105
dwi.json,2,6,1,1,0,10000,-1.1102230246251565e-12,6208.034959736688,0.7172396179381105,6207.548550556252,77.71134923470183
dwi.json,2,7,1,1,0,10000,-1.1048939541069558e-12,1989.625373274201,-1.7877299547428152,1988.6569512666752,-62.06976844837993
dwi.json,2,8,1,1,0,10000,-1.1093348462054564e-12,115.53724174912519,-38.061934800039296,90.96764466178256,-71.23020325454264
dwi.json,2,9,1,1,0,10000,-1.1213252548714081e-12,560.9052201197967,-3.988472865831284,559.5467436463816,-39.014197830636675
dwi.json,2,10,1,1,0,10000,-1.1182166304024577e-12,50.35278624880307,130.5039973861861,-32.70418997665633,38.28627745013118
