sequence,sequence_index,TR,readout,spin,x,y,z,longitudinal,transverse,phase,Sx,Sy
dwi_te_80_bval_2.seq,1,1,1,1,-160.78210819071788,460.4100127693431,469.09449020646457,-2.220446049250313e-16,1.0,90.7645514231649,-0.013343543633300713,0.999910970958568
dwi_te_80_bval_2.seq,1,1,1,2,171.98747191317062,-11.046855766446013,451.2708188862817,-2.220446049250313e-16,1.0,-85.49294765374088,0.07858180236030542,-0.9969076689131275
dwi_te_80_bval_2.seq,1,1,1,3,309.0511145646104,-11.262954112640884,-212.66377425521458,-4.440892098500626e-16,1.0,174.08550728549562,-0.9946767843777593,0.10304413918278135
dwi_te_80_bval_2.seq,1,1,1,4,-170.4787643814421,-253.4098287625658,402.4532859693945,-2.220446049250313e-16,0.9999999999999999,161.22682734925183,-0.9468000493809088,0.3218224145274975
dwi_te_80_bval_2.seq,1,1,1,5,-33.069313315121896,-225.22775738846659,89.1629781896708,-2.220446049250313e-16,0.9999999999999999,89.20035730092616,0.013955944869159796,0.9999026110591015
dwi_te_80_bval_2.seq,1,1,1,6,-473.2346852198693,-294.89369494281266,-157.47538392860264,-2.220446049250313e-16,1.0,89.62544844126114,0.006537111358279279,0.9999786328592674
dwi_te_80_bval_2.seq,1,1,1,7,295.9078247103175,-138.49187166633783,407.40286982333623,-2.220446049250313e-16,1.0,-84.5280811504108,0.09535788885842038,-0.995443053636151
dwi_te_80_bval_2.seq,1,1,1,8,139.9647280669319,358.7632125931285,156.23856367053628,-2.220446049250313e-16,1.0,122.44372872741405,-0.5364710386044967,0.8439187311220273
dwi_te_80_bval_2.seq,1,1,1,9,524.2766943952358,-299.1476092692258,-204.1365048171571,-2.220446049250313e-16,1.0,-37.036237202528355,0.7982547273197625,-0.6023200065676481
dwi_te_80_bval_2.seq,1,1,1,10,475.0805544809133,5.493205876427896,-438.9967823431653,-2.220446049250313e-16,1.0,91.40297311566155,-0.024484053287181565,0.999700220633481
dwi_te_80_bval_2.seq,1,1,1,11,-115.11177943975258,202.98175982589188,-227.80198747790786,0.0,1.0,90.33443773407794,-0.0058370064569658615,0.9999829645327071
dwi_te_80_bval_2.seq,1,1,1,12,-492.6874791288366,-149.01710966138288,146.90355689480873,-2.220446049250313e-16,1.0,173.81326787187936,-0.994175946517132,0.10776913921324852
dwi_te_80_bval_2.seq,1,1,1,13,236.42403856411642,502.5261425623369,384.4657302227688,-4.440892098500626e-16,1.0,-160.1938157334489,-0.940844201520738,-0.3388394730027848
dwi_te_80_bval_2.seq,1,1,1,14,304.43538152946815,118.79740208617754,-73.29194005347658,-2.220446049250313e-16,1.0,-6.8354837114575275,0.992891989212352,-0.11901889664224992
dwi_te_80_bval_2.seq,1,1,1,15,-179.38009469550505,-464.0065177390176,257.1438131451445,-2.220446049250313e-16,1.0,-161.20039378390948,-0.9466514749693108,-0.32225918906747764
dwi_te_80_bval_2.seq,1,1,1,16,150.02439948838645,-211.44343587100812,324.67137098713937,-2.220446049250313e-16,1.0,142.40207225761014,-0.7923117103953647,0.6101165081936167
dwi_te_80_bval_2.seq,1,1,1,17,-237.8211980529531,224.45954455785707,-405.16438952145865,-2.220446049250313e-16,1.0,90.23385157331859,-0.004081468583513633,0.9999916707724129
dwi_te_80_bval_2.seq,1,1,1,18,405.19616660697255,-440.1488489540356,46.755052272616474,-4.440892098500626e-16,0.9999999999999999,90.69709574132412,-0.01216631572627824,0.9999259876419095
dwi_te_80_bval_2.seq,1,1,1,19,103.55047360024707,-82.29671512083245,394.96559440331737,-2.220446049250313e-16,1.0,-119.3840017759942,-0.49066047269478935,-0.8713508481288842
dwi_te_80_bval_2.seq,1,1,1,20,331.7304139384666,137.42508608945786,-366.0704850175958,-2.220446049250313e-16,1.0,89.98716869726104,0.00022394847824306455,0.9999999749235392
dwi_te_80_bval_2.seq,1,1,1,21,339.6228187112156,52.09844594367249,333.03934908980244,0.0,1.0,90.31871349417816,-0.005562571157182239,0.9999845287813813
dwi_te_80_bval_2.seq,1,1,1,22,407.9425455547893,-134.81767416049922,-395.79220761509254,-2.220446049250313e-16,1.0,91.21352402083085,-0.021178406222190818,0.9997757124024808
dwi_te_80_bval_2.seq,1,1,1,23,249.98967556280604,-463.3035645919842,-178.38254430448106,-2.220446049250313e-16,1.0,89.67315783117374,0.005704441042223424,0.9999837295438341
dwi_te_80_bval_2.seq,1,1,1,24,-184.1278213841403,352.21224067951533,-128.48337288216442,-2.220446049250313e-16,1.0,89.75299895080252,0.004310968211438186,0.9999907077333668
dwi_te_80_bval_2.seq,1,1,1,25,309.40354887965805,115.83881119448716,236.895257944976,-2.220446049250313e-16,1.0,49.61941681776079,0.6478617881143302,0.7617579034715051
dwi_te_80_bval_2.seq,1,1,1,26,392.1632537632305,-28.569153761948694,-486.2570497154206,-4.440892098500626e-16,1.0,148.65773840514885,-0.8540753983660849,0.5201492227292215
